,Unnamed: 0,year,rank,song,artist
5572,5572,2015,74,Soldier,Damien
5573,5573,2015,75,Sledgehammer,Fifth Harmony
5574,5574,2015,76,Make Me Wanna,Thomas Rhett
5575,5575,2015,77,G.D.F.R.,Flo Rida Featuring Sage The Gemini & Lookas
5576,5576,2015,78,God Made Girls,RaeLynn
5577,5577,2015,79,She Knows,Ne-Yo Featuring Juicy J
5578,5578,2015,80,Somewhere In My Car,Keith Urban
5579,5579,2015,81,Often,The Weeknd
5580,5580,2015,82,Mean To Me,Brett Eldredge
5581,5581,2015,83,Lost Stars,Matt McAndrew & Adam Levine
5582,5582,2015,84,Girl In A Country Song,Maddie & Tae
5583,5583,2015,85,Try,Colbie Caillat
5584,5584,2015,86,Shut Up And Dance,WALK THE MOON
5585,5585,2015,87,Time Of Our Lives,Pitbull & Ne-Yo
5586,5586,2015,88,Get On Your Knees,Nicki Minaj Featuring Ariana Grande
5587,5587,2015,89,***Flawless,Beyonce Featuring Nicki Minaj Or Chimamanda Ngozi Adichie
5588,5588,2015,90,Apparently,J. Cole
5589,5589,2015,91,Like A Cowboy,Randy Houser
5590,5590,2015,92,Body Language,Kid Ink Featuring Usher & Tinashe
5591,5591,2015,93,No Love,August Alsina
5592,5592,2015,94,Break The Rules,Charli XCX
5593,5593,2015,95,Lonely Eyes,Chris Young
5594,5594,2015,96,Fireball,Pitbull Featuring John Ryan
5595,5595,2015,97,Homegrown Honey,Darius Rucker
5596,5596,2015,98,Wet Dreamz,J. Cole
5597,5597,2015,99,Yellow Flicker Beat,Lorde
5598,5598,2015,100,In Your Arms,Nico & Vinz
5599,5599,2016,1,Hello,Adele
