,Unnamed: 0,year,rank,song,artist
4285,4285,2002,87,With Me,Lonestar
4286,4286,2002,88,Love Of My Life,Brian McKnight
4287,4287,2002,89,Fatty Girl,"Ludacris, LL Cool J & Keith Murray"
4288,4288,2002,90,Ugly,Bubba Sparxxx
4289,4289,2002,91,Got Ur Self A...,Nas
4290,4290,2002,92,Never Too Far/Hero Medley,Mariah Carey
4291,4291,2002,93,Drowning,Backstreet Boys
4292,4292,2002,94,Where I Come From,Alan Jackson
4293,4293,2002,95,Thank You,Lil Bow Wow Featuring Jagged Edge & Fundisha
4294,4294,2002,96,Do U Wanna Roll (Dolittle Theme),"R.L., Snoop Dogg & Lil' Kim"
4295,4295,2002,97,Ooohhhwee,Master P Featuring Weebie
4296,4296,2002,98,You Rock My World,Michael Jackson
4297,4297,2002,99,What Am I Gonna Do,Tyrese
4298,4298,2002,100,God Bless America,Daniel Rodriguez
4299,4299,2003,1,Lose Yourself,Eminem
